site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,1830,1830,5,37,,Limestone,Pebble,complete,77.46,68.55,50.7,355,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,19,19,5,37,L19,Limestone,Pebble,complete,71.79,55.61,50.66,290,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,4879,4879,5,47,,Limestone,Pebble,broken,64.85,50.59,32.81,142,no,,,,no,Manuport,,
Nesher Ramla,6041,6041,5,37,,Limestone,Pebble,complete,53.36,44.62,28.04,107,no,,,,no,Manuport,,
Nesher Ramla,292,292,5,37,O21,Limestone,Pebble,complete,70.16,54.92,48.86,242,no,,,,no,Manuport,,
Nesher Ramla,5516,5516,5,47,,Limestone,Pebble,complete,77.05,48.34,48.06,196,no,,,,no,Manuport,,
Nesher Ramla,760,760,5,37,,Limestone,Pebble,complete,57.25,45.68,45.22,188,no,,,,no,Manuport,,
Nesher Ramla,1082,1082,5,37,,Limestone,Pebble,complete,85.33,44.62,41.36,291,no,,,,no,Manuport,,
Nesher Ramla,5557,5557,5,47,,Limestone,Pebble,complete,62.25,35.69,30.01,110,no,,,,no,Manuport,,
Nesher Ramla,4783,4783,5,46,,Limestone,block,complete,75.54,56.74,50.23,266,no,,,,no,Natural,,
Nesher Ramla,4783,4783-1,5,46,,Limestone,Pebble,complete,77.66,59.63,56.28,404,yes,tip,pecking,2,no,Hammerstone,,
Nesher Ramla,5526,5526,5,47,,Limestone,Pebble,small_breakage,77.81,60.08,46.29,302,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1072,1072,5,37,,Limestone,Pebble,complete,83.81,67.96,44.26,385,yes,tip,pecking,3,no,Hammerstone,,
Nesher Ramla,380,380,5,37,Q19,Limestone,Pebble,complete,76.74,69.37,43.15,328,no,,,,no,Manuport,,
Nesher Ramla,8593,8593,5,45,,Limestone,Pebble,broken,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,4389,4389-1,5,,,Limestone,Pebble,complete,52.14,45.81,39.5,135,no,,,,no,Manuport,,
Nesher Ramla,4389,4389-2,5,,,Limestone,Pebble,complete,51.77,48.18,39.32,198,no,,,,no,Manuport,,
Nesher Ramla,4389,4389,5,,,Limestone,Pebble,complete,95.62,77.42,57.64,627,yes,central,mix,1,no,Undefined,,
Nesher Ramla,4522,4522,5,,,Limestone,Pebble,complete,48.99,42.63,37.44,116,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1093,1093,5,,,Limestone,Pebble,complete,86.94,68.47,57.62,493,no,,,,no,Manuport,,
Nesher Ramla,5551,5551,5,45,,Limestone,Pebble,broken,66.43,46.53,19.62,65,no,,,,no,Manuport,,
Nesher Ramla,7016,7016-1,5,54,,Limestone,Pebble,broken,63.4,59.66,43.16,116,no,,,,no,Manuport,,
Nesher Ramla,5118,5118,5,,,Limestone,block,broken,154.49,87.13,44.61,715,no,,,,no,Chopper,,
Nesher Ramla,5557,5557-1,5,47,,Limestone,Pebble,complete,83.48,71.55,49.23,389,no,,,,no,Manuport,,
